"Data";"TS Bid 6luni";"TS Bid 12 luni";"TS Bid 3 ani";"TS Bid 5 ani";"TS Bid 10 ani";"TS Ask 6luni";"TS Ask 12 luni";"TS Ask 3 ani";"TS Ask 5 ani";"TS Ask 10 ani"
"2025-08-07";"6,90";"7,01";"7,29";"7,43";"7,29";"6,57";"6,67";"7,07";"7,19";"7,06"
"2025-08-06";"6,91";"7,01";"7,29";"7,43";"7,29";"6,58";"6,67";"7,05";"7,19";"7,04"
"2025-08-05";"6,91";"6,99";"7,28";"7,44";"7,28";"6,57";"6,67";"7,06";"7,19";"7,04"
"2025-08-04";"6,91";"6,99";"7,27";"7,42";"7,29";"6,58";"6,65";"7,06";"7,19";"7,04"
"2025-08-01";"6,89";"6,97";"7,27";"7,42";"7,27";"6,58";"6,64";"7,05";"7,20";"7,05"
"2025-07-31";"6,89";"6,97";"7,28";"7,43";"7,27";"6,57";"6,63";"7,05";"7,19";"7,04"
"2025-07-30";"6,88";"6,96";"7,28";"7,43";"7,26";"6,57";"6,63";"7,03";"7,18";"7,02"
"2025-07-29";"6,89";"6,97";"7,26";"7,43";"7,27";"6,57";"6,63";"7,03";"7,19";"7,04"
"2025-07-28";"6,89";"6,96";"7,23";"7,41";"7,27";"6,57";"6,63";"7,00";"7,17";"7,01"
"2025-07-25";"6,88";"6,97";"7,22";"7,38";"7,25";"6,57";"6,63";"7,00";"7,17";"7,01"
"2025-07-24";"6,88";"6,97";"7,20";"7,37";"7,26";"6,58";"6,64";"6,99";"7,17";"7,03"
"2025-07-23";"6,88";"6,97";"7,21";"7,39";"7,26";"6,57";"6,63";"7,00";"7,18";"7,03"
"2025-07-22";"6,89";"6,96";"7,23";"7,39";"7,25";"6,56";"6,63";"7,03";"7,16";"7,04"
"2025-07-21";"6,89";"6,96";"7,22";"7,40";"7,24";"6,56";"6,63";"7,01";"7,16";"7,02"
"2025-07-18";"6,90";"6,97";"7,21";"7,41";"7,24";"6,57";"6,64";"7,01";"7,18";"7,02"
"2025-07-17";"6,89";"6,96";"7,21";"7,38";"7,20";"6,57";"6,63";"7,00";"7,17";"6,97"
"2025-07-16";"6,87";"6,95";"7,21";"7,37";"7,18";"6,57";"6,63";"6,99";"7,14";"6,93"
"2025-07-15";"6,86";"6,95";"7,23";"7,37";"7,18";"6,55";"6,64";"7,00";"7,13";"6,95"
"2025-07-14";"6,86";"6,95";"7,23";"7,37";"7,20";"6,56";"6,64";"7,00";"7,15";"6,97"
"2025-07-11";"6,87";"6,96";"7,21";"7,36";"7,20";"6,56";"6,64";"7,00";"7,11";"6,97"
"2025-07-10";"6,87";"6,96";"7,22";"7,37";"7,22";"6,56";"6,66";"7,00";"7,12";"6,99"
"2025-07-09";"6,85";"6,95";"7,22";"7,32";"7,20";"6,58";"6,65";"7,00";"7,10";"6,96"
"2025-07-08";"6,89";"6,99";"7,26";"7,38";"7,28";"6,62";"6,70";"7,03";"7,15";"7,04"
"2025-07-07";"7,01";"7,08";"7,35";"7,42";"7,35";"6,69";"6,75";"7,11";"7,19";"7,10"
"2025-07-04";"7,00";"7,06";"7,35";"7,43";"7,35";"6,67";"6,74";"7,11";"7,19";"7,10"
"2025-07-03";"7,00";"7,07";"7,35";"7,44";"7,41";"6,67";"6,74";"7,12";"7,19";"7,18"
"2025-07-02";"7,01";"7,07";"7,36";"7,49";"7,51";"6,69";"6,77";"7,13";"7,26";"7,28"
"2025-07-01";"7,01";"7,05";"7,33";"7,48";"7,51";"6,69";"6,77";"7,12";"7,26";"7,27"
"2025-06-30";"7,01";"7,07";"7,36";"7,48";"7,50";"6,72";"6,79";"7,11";"7,26";"7,27"
"2025-06-27";"7,02";"7,10";"7,33";"7,50";"7,50";"6,72";"6,79";"7,11";"7,26";"7,27"
"2025-06-26";"7,02";"7,07";"7,32";"7,43";"7,44";"6,75";"6,79";"7,09";"7,21";"7,22"
"2025-06-25";"7,03";"7,09";"7,31";"7,39";"7,41";"6,74";"6,81";"7,08";"7,18";"7,20"
"2025-06-24";"7,07";"7,12";"7,35";"7,39";"7,42";"6,75";"6,81";"7,11";"7,17";"7,20"
"2025-06-23";"7,07";"7,12";"7,34";"7,41";"7,44";"6,75";"6,82";"7,11";"7,22";"7,22"
"2025-06-20";"7,07";"7,15";"7,39";"7,54";"7,52";"6,75";"6,80";"7,18";"7,32";"7,26"
"2025-06-19";"7,07";"7,14";"7,39";"7,51";"7,48";"6,75";"6,83";"7,15";"7,30";"7,25"
"2025-06-18";"7,08";"7,14";"7,38";"7,51";"7,52";"6,75";"6,83";"7,18";"7,32";"7,31"
"2025-06-17";"7,10";"7,15";"7,41";"7,56";"7,60";"6,77";"6,84";"7,18";"7,37";"7,40"
"2025-06-16";"7,11";"7,16";"7,41";"7,60";"7,60";"6,78";"6,84";"7,20";"7,37";"7,40"
"2025-06-13";"7,10";"7,15";"7,40";"7,58";"7,60";"6,79";"6,84";"7,19";"7,37";"7,40"
"2025-06-12";"7,09";"7,15";"7,40";"7,59";"7,64";"6,79";"6,84";"7,19";"7,37";"7,41"
"2025-06-11";"7,09";"7,15";"7,42";"7,59";"7,60";"6,79";"6,85";"7,19";"7,36";"7,38"
"2025-06-10";"7,09";"7,15";"7,41";"7,58";"7,61";"6,79";"6,84";"7,19";"7,35";"7,38"
"2025-06-06";"7,09";"7,15";"7,42";"7,60";"7,62";"6,79";"6,85";"7,20";"7,37";"7,39"
"2025-06-05";"7,09";"7,15";"7,42";"7,61";"7,62";"6,77";"6,86";"7,20";"7,38";"7,40"
"2025-06-04";"7,09";"7,15";"7,46";"7,62";"7,65";"6,79";"6,84";"7,24";"7,39";"7,43"
"2025-06-03";"7,11";"7,16";"7,47";"7,62";"7,62";"6,80";"6,83";"7,24";"7,39";"7,41"
"2025-06-02";"7,09";"7,16";"7,46";"7,60";"7,62";"6,79";"6,86";"7,22";"7,36";"7,39"
"2025-05-30";"7,10";"7,14";"7,42";"7,54";"7,56";"6,79";"6,86";"7,18";"7,30";"7,33"
"2025-05-29";"7,11";"7,15";"7,36";"7,52";"7,56";"6,81";"6,83";"7,12";"7,28";"7,32"
"2025-05-28";"7,10";"7,15";"7,36";"7,51";"7,55";"6,80";"6,85";"7,11";"7,28";"7,30"
"2025-05-27";"7,10";"7,15";"7,36";"7,50";"7,51";"6,81";"6,86";"7,12";"7,27";"7,26"
"2025-05-26";"7,12";"7,15";"7,38";"7,45";"7,50";"6,85";"6,86";"7,12";"7,21";"7,23"
"2025-05-23";"7,47";"7,57";"7,59";"7,62";"7,54";"7,14";"7,27";"7,34";"7,38";"7,30"
"2025-05-22";"7,47";"7,57";"7,59";"7,63";"7,55";"7,14";"7,27";"7,34";"7,38";"7,30"
"2025-05-21";"7,49";"7,58";"7,61";"7,62";"7,60";"7,17";"7,28";"7,35";"7,39";"7,36"
"2025-05-20";"7,49";"7,61";"7,59";"7,61";"7,59";"7,21";"7,30";"7,34";"7,36";"7,34"
"2025-05-19";"7,49";"7,57";"7,55";"7,54";"7,41";"7,21";"7,25";"7,31";"7,28";"7,16"
"2025-05-16";"8,32";"8,40";"8,45";"8,37";"8,01";"7,98";"8,07";"8,22";"8,14";"7,77"
"2025-05-15";"8,32";"8,41";"8,48";"8,40";"8,03";"8,01";"8,10";"8,24";"8,17";"7,76"
"2025-05-14";"8,28";"8,40";"8,48";"8,41";"8,04";"7,95";"8,08";"8,23";"8,16";"7,76"
"2025-05-13";"8,29";"8,42";"8,53";"8,46";"8,06";"8,00";"8,08";"8,28";"8,21";"7,81"
"2025-05-12";"8,50";"8,52";"8,55";"8,50";"8,20";"8,19";"8,19";"8,30";"8,24";"7,95"
"2025-05-09";"8,45";"8,55";"8,79";"8,76";"8,54";"8,11";"8,16";"8,54";"8,51";"8,28"
"2025-05-08";"8,40";"8,48";"8,55";"8,59";"8,55";"8,06";"8,13";"8,28";"8,34";"8,32"
"2025-05-07";"7,44";"7,55";"7,89";"8,00";"8,14";"7,10";"7,21";"7,64";"7,76";"7,89"
"2025-05-06";"6,81";"7,02";"7,60";"7,90";"8,02";"6,49";"6,70";"7,34";"7,66";"7,80"
"2025-05-05";"6,64";"6,90";"7,46";"7,77";"7,86";"6,29";"6,57";"7,21";"7,52";"7,63"
"2025-05-02";"6,48";"6,81";"7,24";"7,51";"7,54";"6,11";"6,45";"7,00";"7,27";"7,31"
"2025-04-30";"6,48";"6,79";"7,20";"7,48";"7,51";"6,10";"6,47";"6,99";"7,26";"7,29"
"2025-04-29";"6,48";"6,77";"7,20";"7,48";"7,52";"6,11";"6,42";"6,98";"7,25";"7,27"
"2025-04-28";"6,47";"6,76";"7,19";"7,48";"7,52";"6,10";"6,44";"6,96";"7,25";"7,28"
"2025-04-25";"6,43";"6,74";"7,16";"7,45";"7,51";"6,08";"6,40";"6,93";"7,22";"7,27"
"2025-04-24";"6,42";"6,74";"7,15";"7,48";"7,55";"6,08";"6,41";"6,94";"7,25";"7,32"
