Date,Symbol,Open,Low,High,Close,Volume,Value,Trades
2012-08-29,TVBETETF,5.1,5.08,5.69,5.09,5852,29839.73,69
2012-08-30,TVBETETF,5.09,5.08,5.11,5.08,126,641.37,19
2012-08-31,TVBETETF,5.1,5.07,5.11,5.07,151,766.31,7
2012-09-03,TVBETETF,5.07,5.07,5.11,5.09,1431,7296.16,14
2012-09-04,TVBETETF,5.07,5.07,5.07,5.07,75,380.25,4
2012-09-05,TVBETETF,5.07,5.06,5.07,5.06,181,916.39,16
2012-09-06,TVBETETF,5.07,5.07,5.07,5.07,60,304.2,2
2012-09-07,TVBETETF,5.14,5.13,5.19,5.19,528,2723.07,9
2012-09-10,TVBETETF,5.19,5.19,5.19,5.19,24,124.56,5
2012-09-11,TVBETETF,5.19,5.17,5.19,5.17,193,1000.84,7
2012-09-12,TVBETETF,5.22,5.2,5.22,5.2,562,2932.57,8
2012-09-13,TVBETETF,5.2,5.2,5.2,5.2,100,520.0,2
2012-09-14,TVBETETF,5.24,5.24,5.26,5.25,2935,15404.79,12
2012-09-17,TVBETETF,5.24,5.23,5.24,5.23,20,104.75,2
2012-09-18,TVBETETF,5.2,5.2,5.22,5.22,38,197.86,8
2012-09-19,TVBETETF,5.23,5.21,5.25,5.23,42,219.34,5
2012-09-20,TVBETETF,5.2,5.17,5.2,5.17,215,1116.38,11
2012-09-21,TVBETETF,5.18,5.18,5.18,5.18,2,10.36,1
2012-09-24,TVBETETF,5.15,5.05,5.17,5.05,549,2791.77,25
2012-09-25,TVBETETF,5.08,5.06,5.08,5.08,221,1119.06,9
2012-09-26,TVBETETF,5.05,4.96,5.05,4.98,1992,9939.37,23
2012-09-27,TVBETETF,5.02,5.0,5.02,5.0,184,920.43,5
2012-09-28,TVBETETF,5.0,4.98,5.03,4.98,379,1893.52,10
2012-10-01,TVBETETF,4.97,4.94,4.97,4.94,32,158.36,4
2012-10-02,TVBETETF,5.03,5.03,5.03,5.03,5,25.15,1
2012-10-03,TVBETETF,5.0,4.98,5.0,4.98,1615,8074.75,5
2012-10-04,TVBETETF,4.98,4.98,5.02,5.01,11145,55882.1,15
2012-10-09,TVBETETF,5.0,5.0,5.0,5.0,500,2500.0,1
2012-10-11,TVBETETF,4.99,4.98,4.99,4.98,503,2505.01,13
2012-10-12,TVBETETF,5.04,5.04,5.05,5.05,8,40.35,2
2012-10-15,TVBETETF,5.03,5.03,5.03,5.03,14,70.42,2
2012-10-16,TVBETETF,5.07,5.07,5.13,5.12,1113,5707.37,5
2012-10-17,TVBETETF,5.12,5.12,5.18,5.17,2160,11167.28,8
2012-10-18,TVBETETF,5.15,5.15,5.19,5.19,10013,51717.07,5
2012-10-19,TVBETETF,5.19,5.14,5.19,5.14,1025,5269.41,4
2012-10-22,TVBETETF,5.15,5.15,5.15,5.15,350,1802.5,2
2012-10-24,TVBETETF,5.12,5.12,5.12,5.12,2,10.24,2
2012-10-26,TVBETETF,5.12,5.12,5.12,5.12,1,5.12,1
2012-10-31,TVBETETF,5.11,5.11,5.11,5.11,3,15.33,1
2012-11-01,TVBETETF,5.12,5.12,5.12,5.12,6,30.72,1
